id,trial,aAngHG_oHead,aAngHG_oMid,aAngHG_oReach,aAngHGFeed1,aAngHGFeed2,aAngHGFeed3,aAngHGFeed4,aDistReach_1,aDistReach_2,aDistReach_3,aDistReach_4,oAngHGFeed1,oAngHGFeed2,oAngHGFeed3,oAngHGFeed4,oDistReach1,oDistReach2,oDistReach3,oDistReach4,s_1,s_2,s_3,s_4,b_1,b_2,b_3,b_4
54625,6,37.64123676,20.98618092,15.41728922,33.38079198,17.96909212,18.5430982,24.80137966,0.500459879,0.35608273,0.227641586,0.124149023,53.31093488,21.24208639,22.02125795,25.23026066,0.162664962,0.080147944,0.134844731,0.275668714,0,0,0,0,0,0,1,0
54626,6,39.7938534,22.80061224,16.05813168,33.35277494,16.96726277,19.13204025,24.80154245,0.500833383,0.35401964,0.227972595,0.117317782,53.07133636,21.34790896,21.72180084,24.8283289,0.160377991,0.087211048,0.136665965,0.280011316,0,0,0,0,0,0,1,0
54627,6,40.81951488,22.96869126,16.58330738,34.49608974,17.93979834,20.70895457,24.24860874,0.498638181,0.350714416,0.226069412,0.112908817,52.85537966,21.24208487,21.8347051,25.00175956,0.165803015,0.085524207,0.133057573,0.274665585,0,0,0,0,0,0,1,0
54628,6,46.90103977,28.82774196,22.84774744,40.11813481,22.24124842,26.8330137,19.28733348,0.495242428,0.347493465,0.223028558,0.111625332,52.83734435,21.4800001,21.73728325,24.77239934,0.166463919,0.092562109,0.132377532,0.276226864,0,0,0,0,0,0,1,0
54629,6,51.11642225,31.91039593,25.75293624,43.11752103,24.53433969,30.41817308,16.86216365,0.496182493,0.348021046,0.22416957,0.111497782,52.69853743,21.36696395,21.88646227,24.89309696,0.171676641,0.094824189,0.130364354,0.273006729,0,0,0,0,0,0,1,0
54630,6,54.50987129,35.73386603,28.93976429,48.21060542,29.53192983,34.90118299,11.22367567,0.496588683,0.348650758,0.224098464,0.093175713,52.66780223,21.57629868,21.66219889,24.58026933,0.178333777,0.091338049,0.131225892,0.268277737,0,0,0,0,0,0,1,0
54631,6,52.1884042,33.02908175,27.47214873,47.22068755,28.85414666,32.93881833,12.58192783,0.502172471,0.353758849,0.221892723,0.083759344,52.44552071,21.54674418,21.56204986,24.39250702,0.180715408,0.102948593,0.129936834,0.27027938,0,0,0,0,0,0,1,0
54632,6,57.432523,37.34073816,34.30482865,55.03646625,36.62469924,39.89452567,5.728909105,0.501153494,0.351743877,0.219951792,0.077803701,51.86786325,21.28786107,21.36812043,24.39609289,0.184816165,0.114042687,0.130598143,0.272382743,0,0,0,0,0,0,1,0
54633,6,66.28232225,45.67019503,38.10959218,54.33664995,34.48916296,44.05428158,10.91802797,0.498028527,0.346251951,0.215340089,0.070818186,51.35916511,21.06248974,21.02935248,24.25007913,0.189809878,0.121115623,0.133424818,0.273598933,0,0,0,0,0,0,1,0
54634,6,64.0353767,42.73365714,37.53635637,58.30903735,39.08674217,45.85031091,4.175531995,0.494105403,0.34272437,0.210911863,0.066937886,50.84373954,20.95796997,21.43168102,24.62831304,0.198464147,0.131968237,0.135779592,0.273915842,0,0,0,0,0,0,1,0
54635,6,62.43774605,41.1269891,36.04360244,59.61157689,40.78059637,45.90225185,4.848183578,0.490161553,0.337779418,0.207778778,0.06023784,50.86654427,21.20497449,21.87496946,24.76817299,0.207790329,0.140053257,0.137425111,0.272126828,0,0,0,0,0,0,1,0
54636,6,62.06411589,40.38110682,35.64362487,59.57858459,40.66205152,45.1153928,4.555884087,0.486683868,0.331630191,0.206589874,0.048530151,50.07392661,20.91301174,21.50439628,24.54697332,0.219373584,0.15616131,0.138664285,0.272597411,0,0,0,0,0,0,1,0
54637,6,68.80438791,47.76464823,38.81999057,58.01101184,38.01130246,47.40271383,7.738542981,0.487142164,0.330269726,0.208902737,0.044631741,49.86388666,21.19225549,21.01789049,23.94121526,0.228375925,0.164570646,0.14300297,0.272694716,0,0,0,0,0,0,1,0
54638,6,72.79947576,52.79183587,42.15860833,57.65802334,37.35031403,48.12830537,12.26317515,0.479920685,0.323853217,0.20136136,0.039011834,48.97326525,20.46157054,20.67574619,24.01217527,0.236738776,0.171727304,0.146966042,0.272363132,0,0,0,0,0,0,1,0
54639,6,72.02737681,50.686485,41.55307734,55.22151802,34.8956787,45.61127223,15.4382981,0.473223899,0.318176665,0.194134232,0.035425487,48.74502499,20.45902478,20.6069778,23.83126794,0.244866825,0.181336951,0.153204983,0.275083863,0,0,0,0,0,0,1,0
54640,6,64.19596914,44.86954396,32.63015158,53.25263318,33.4029974,42.42373814,12.83629471,0.470496711,0.315981707,0.19113212,0.034658822,47.91426367,20.09123281,20.50796345,23.85722273,0.25439239,0.190119254,0.15801348,0.275364386,0,0,0,0,0,0,1,0
54641,6,62.49376383,41.81435884,30.8304723,51.27884534,31.53449591,40.26941029,15.0467072,0.468779506,0.314612544,0.189287732,0.034510145,47.92476118,20.5774457,21.02883516,23.74812883,0.264041915,0.201673943,0.166250127,0.279596277,0,0,0,0,0,0,1,0
54642,6,58.97888338,38.04104911,32.56506997,48.21171784,28.88075867,36.89414595,18.41145221,0.468734351,0.315020435,0.188602605,0.035551149,47.52012189,20.55409193,20.84540709,23.43105267,0.271385449,0.22737672,0.17401694,0.296002531,0,0,0,0,0,0,1,0
54643,6,57.51519331,35.42959512,31.48004106,47.68064361,28.72954519,36.03991905,19.57380213,0.466807013,0.312080816,0.188195183,0.031795424,46.50320754,20.00571766,20.95403349,23.66365913,0.275909044,0.234445676,0.177754838,0.299523241,0,0,0,0,0,0,1,0
54644,6,55.78179953,35.7927973,33.03512232,45.78633088,27.12867595,34.06044117,21.69105143,0.467731166,0.311949072,0.190167099,0.02946576,45.92565818,19.6573376,20.99378726,23.86820971,0.294444426,0.261046929,0.194111535,0.313703412,0,0,0,0,0,0,1,0
54645,6,56.38349284,36.71058011,34.30996548,46.58294602,27.8261519,34.76486629,21.07926671,0.468113977,0.311983808,0.190948524,0.028985575,45.87537323,20.01016315,20.44440908,22.9686429,0.298741036,0.266777548,0.196779567,0.31607654,0,0,0,0,0,0,1,0
54646,6,54.76751609,35.28348306,29.88967802,44.5084145,26.12482482,32.5775697,23.47091068,0.467125623,0.310546644,0.19057802,0.027046747,45.87125106,20.30958792,20.22275889,22.37951662,0.303885192,0.262215562,0.198147218,0.308717699,0,0,0,0,0,0,1,0
54647,6,53.84880508,34.11046867,26.27934692,44.18212993,26.06046838,32.13995938,24.20868133,0.465744631,0.31014608,0.188030163,0.028084796,45.43843415,20.10034166,20.08892266,22.20077103,0.309067149,0.257411108,0.199611722,0.300938048,0,0,0,0,0,0,1,0
54648,6,53.60942045,34.68227664,28.93167222,44.12901079,26.14358876,32.0052454,24.51552016,0.467352916,0.310454324,0.191161546,0.026441212,44.24762741,19.29966524,19.85928298,22.48771614,0.311697565,0.269675925,0.203669766,0.311097053,0,0,0,0,0,0,1,0
54649,6,53.37881324,31.11962271,29.97891847,43.60223587,25.70778503,31.4726492,25.06825219,0.468092214,0.311262897,0.19173007,0.02716977,42.48185705,18.19774766,19.23070458,22.57159684,0.312770762,0.275188794,0.206433175,0.316443691,0,0,0,0,0,0,1,0
54650,6,53.35990611,35.13400911,28.91724528,43.36359815,25.45417094,31.19739511,25.3476483,0.468229,0.311420974,0.191812056,0.027279439,42.32303882,18.11136548,19.16904005,22.51259581,0.312501514,0.270703972,0.203623523,0.311128921,0,0,0,0,0,0,1,0
54651,6,53.12054395,37.09198786,27.37630749,42.94446915,25.14397661,30.72202646,25.93098053,0.468605594,0.311387098,0.192668335,0.026727753,41.45654875,17.6986438,18.61432734,21.99238099,0.308574035,0.264501726,0.201428742,0.308362525,0,0,0,0,0,0,1,0
54652,6,52.8586922,35.7929687,26.68628998,42.8201557,25.17062768,30.56898993,26.24777966,0.466688794,0.310318534,0.1897712,0.026733164,41.63004629,18.06205599,18.5285045,21.59758811,0.311203909,0.265494012,0.202727745,0.307542223,0,0,0,0,0,0,1,0
