id,trial,H_headFront_x,H_headFront_y,H_headFront_z,H_neck_x,H_neck_y,H_neck_z,H_lowerBack_x,H_lowerBack_y,H_lowerBack_z,H_leftWrist_x,H_leftWrist_y,H_leftWrist_z,H_leftShoulder_x,H_leftShoulder_y,H_leftShoulder_z,H_leftElbow_x,H_leftElbow_y,H_leftElbow_z,s_1,s_2,s_3,s_4
49512,22,-416.4391479,-500.9699097,2019.160034,-281.6446533,-424.2800293,1830.236572,-338.888855,-146.5020752,2285.818848,-418.3533325,-498.0569458,2017.772095,-453.3391113,-407.8112183,1902.901611,-416.1584473,-500.3519897,2024.758545,1,1,1,1
49513,22,-427.2197266,-513.9273682,2018.033936,-278.7127686,-435.3094482,1829.550537,-364.8701172,-160.8765869,2269.85791,-428.6976318,-511.9302979,2016.401367,-464.0165405,-438.9979858,1913.208252,-425.614502,-513.7015381,2023.255615,1,1,1,1
49514,22,-434.0111084,-512.1795654,2017.333618,-282.9767456,-442.9907837,1831.953369,-359.0007324,-154.8386841,2263.364014,-435.0492554,-510.0731812,2016.390625,-461.8146973,-456.1615601,1918.207031,-432.7735596,-512.0164795,2022.457642,1,1,1,1
49515,22,-424.6019287,-514.2710571,2008.834839,-288.2641602,-454.5119019,1834.959229,-347.9437256,-147.4121094,2210.313965,-426.1036377,-512.0177612,2008.723999,-459.1207886,-466.9553833,1926.608154,-422.203125,-512.1912231,2013.872559,1,1,1,1
49516,22,-427.2732544,-506.5210571,2017.869873,-291.4494629,-463.6835327,1838.612671,-349.3800659,-148.2280884,2211.235107,-429.0898438,-504.8729858,2017.028809,-461.9098206,-469.9562988,1922.175049,-424.3718872,-504.4516602,2023.079346,1,1,1,1
49517,22,-417.756897,-509.8596191,2011.856445,-297.1085205,-474.9221191,1840.164063,-349.68573,-159.7670898,2170.340576,-421.0214844,-508.6270142,2011.932617,-484.0441589,-494.140625,1947.974609,-414.7632446,-507.7190552,2016.953125,1,1,1,1
49518,22,-413.2998657,-504.9325562,2002.72876,-298.8024902,-482.3287964,1843.352295,-347.4084473,-158.1735229,2158.2771,-416.1815186,-503.5778809,2002.258301,-470.9007568,-481.1062012,1924.303467,-411.5171509,-503.5119019,2007.789307,1,1,1,1
49519,22,-411.1536865,-486.8482056,1978.47876,-300.3095093,-499.3069458,1846.099243,-342.723999,-160.1347046,2195.002686,-413.8217773,-486.4026489,1979.011719,-479.0060425,-491.4849243,1940.163452,-409.0112305,-485.1955566,1982.06543,1,1,1,1
49520,22,-420.2197266,-519.1802979,1992.647705,-305.9873657,-510.609436,1853.624146,-351.4642944,-170.5957642,2158.688477,-422.468811,-518.9203491,1992.473511,-477.0338135,-511.5640259,1946.041016,-417.8850098,-517.6568604,1996.445801,1,1,1,1
49521,22,-373.8920288,-469.8849487,1927.794312,-296.8733521,-513.008606,1853.658936,-342.9644775,-161.328125,2150.27417,-377.432373,-470.4400635,1930.39209,-460.4685974,-504.8699341,1935.621826,-371.6571045,-468.151062,1930.77002,1,1,1,1
49522,22,-439.5924683,-505.8660889,1993.722046,-308.3515625,-527.0570068,1855.505249,-335.6218872,-172.6311035,2135.578857,-441.3084717,-506.036377,1994.197632,-482.6268921,-527.6460571,1946.479614,-438.7772827,-504.355896,1996.482788,1,1,1,1
49523,22,-435.6415405,-516.9102783,2009.541016,-313.2944336,-542.0007324,1860.654053,-359.9555664,-181.9888306,2172.43457,-438.4790039,-517.9255371,2009.792603,-488.1698608,-552.4782104,1956.38208,-433.0583496,-514.9266357,2013.701416,1,1,1,1
49524,22,-433.6073608,-524.2399902,2002.419312,-320.3291016,-552.262207,1865.557617,-336.5390625,-178.116272,2090.103027,-436.3171387,-525.0404663,2001.684692,-497.8961792,-549.265625,1956.755737,-430.4788818,-522.6060791,2005.153198,1,1,1,1
49525,22,-441.5073853,-546.2919312,1999.368896,-317.0866699,-563.7993164,1865.984619,-356.1300049,-177.5707397,2129.013672,-444.5605469,-546.4141235,1999.258301,-501.1073303,-569.6981201,1972.689209,-439.4003906,-544.9400635,2001.06543,1,1,1,1
49526,22,-429.8826294,-539.2999268,1996.871704,-323.8048096,-576.2561035,1874.173462,-355.8521729,-183.8342896,2145.411621,-433.4697266,-539.8238525,1997.449463,-494.2179871,-568.1151123,1976.109375,-427.3110352,-538.2603149,1998.223145,1,1,1,1
49527,22,-442.1469116,-546.0299683,1993.341797,-327.8549805,-584.1537476,1869.457153,-331.6070557,-179.5802002,2075.268066,-445.0889893,-546.6783447,1994.20166,-498.4433899,-570.4013672,1977.587158,-438.5534668,-544.6351929,1994.710693,1,1,1,1
49528,22,-433.604248,-549.640564,2011.32312,-327.8001709,-586.3859253,1871.530884,-325.5751953,-189.454834,2072.685547,-436.5125732,-549.3442993,2011.437134,-508.077301,-571.3271484,1960.219727,-430.9387817,-548.2362671,2013.160645,1,1,1,1
49529,22,-436.199585,-546.6136475,1996.276123,-325.9539185,-589.9696045,1870.313965,-351.642334,-198.508728,2113.883301,-439.7531128,-546.9761353,1997.885742,-498.2552795,-590.4037476,1970.938477,-434.2095337,-544.2805176,1998.91748,1,1,1,1
49530,22,-434.4378052,-547.6113281,1997.312256,-327.6154175,-604.8775635,1869.723877,-328.5917969,-199.4581299,2075.771729,-437.4052734,-548.3231201,1998.332031,-494.3528137,-596.2524414,1967.415039,-432.3774414,-546.0657959,1998.602539,1,1,1,1
49531,22,-436.6031494,-556.7416382,2000.666748,-327.2694702,-608.7767334,1868.194092,-334.6555176,-185.6358032,2081.894287,-440.2575073,-556.991272,2001.404663,-507.8274841,-592.906189,1956.651611,-435.2872925,-554.8378906,2002.495361,1,1,1,1
49532,22,-434.8078613,-566.4239502,2001.739136,-329.0110474,-620.5844727,1861.523193,-330.010376,-193.7159424,2076.257568,-438.0568848,-566.1147461,2002.296509,-515.2008057,-595.309021,1945.384766,-432.6634521,-564.4349976,2003.869629,1,1,1,1
